Address,Quadrant,Profit_Factor,Average_Leverage,Total_PnL,Win_Rate,Liq_Loss_Ratio,Total_Account_Value,Avg_Duration_Min,Orders_30d,Orders_Per_Day,Duration_Ratio,Liq_Loss_Ratio_Detail,Top_Coins_Vol_Ratio,Liquidations_60d,Avg_PV
0xc864406cacb0fda090c714a80cc5d9558f3c0338,Q2: 爆破敢死队,0.0848,15.33,-233594.03,20.00%,0.87,0.0,4799.0,117,3.9,2.1188,0.87,0.836,9,499485.27
0x3439e321f0411786aaf5e38981961923f5801143,Q2: 爆破敢死队,0.1958,13.77,-20508.02,29.27%,0.957,5270.3,461.4,114,3.8,0.0722,0.957,0.8,6,29004.82
0x1bd2d89e4b9a2d373e89d74c8cc02d1562fa9626,Q2: 爆破敢死队,0.1312,22.08,-35717.02,17.86%,0.4762,2427.03,421.86,109,3.63,0.2755,0.4762,0.8,10,107008.37
0xaabef34fce1da43c29fe5ceca590899c97869f22,Q2: 爆破敢死队,0.2479,23.7,-34527.07,18.75%,0.1977,9.52,257.32,102,3.4,1.4534,0.1977,0.9968,2,142204.57
0xc220405e3d08a805c9b8589ab21a3854b4725e08,Q2: 爆破敢死队,0.1508,17.19,-16591.03,26.92%,1.043,0.6,6833.5,100,3.33,1.859,1.043,1.0,6,14492.51
0xa6164a34867799e3c6a6aee5bb2df11976158717,Q2: 爆破敢死队,0.2302,24.8,-16282.07,21.69%,0.6782,0.03,1534.37,100,3.33,0.5778,0.6782,0.8093,25,13396.72
0xf251555f98fe20b4c56a77f2879c23ef9f31e4ee,Q2: 爆破敢死队,0.254,10.66,-10598.34,26.67%,0.0007,0.61,835.46,98,3.27,0.5675,0.0007,0.9168,0,17745.34
0x2fef14331e3750eba50365e222ea69a8783bf4b4,Q2: 爆破敢死队,0.1073,21.07,-100816.86,21.43%,0.3248,0.0,2268.96,94,3.13,0.8366,0.3248,0.941,8,94621.57
0x95d3a69b77596126e0936f2bc9b99fa21e348bde,Q2: 爆破敢死队,0.0,17.47,-58929.12,0.00%,1.0,0.0,2351.85,92,3.07,0.0,1.0,0.9338,12,488806.56
0x17102d2c57a91350b22b77cd26e41f1f15c65435,Q2: 爆破敢死队,0.1531,11.24,-27028.53,17.14%,0.828,658.21,3035.97,92,3.07,0.2737,0.828,0.8,14,25983.9
0x0bd7dc082962f688b6182d940ded65e50e9da669,Q2: 爆破敢死队,0.2682,22.08,-63633.01,25.58%,0.57,0.0,239.74,87,2.9,1.286,0.57,0.9947,4,195832.9
0x7b25c045835f0f6f7180b9d51b428f2dc13cf77e,Q2: 爆破敢死队,0.2035,31.0,-40951.01,27.78%,1.0565,11.79,309.07,85,2.83,6.1509,1.0565,1.0,21,218191.44
0x1053549fd1f560a2a610647da5f73dec479d2ad5,Q2: 爆破敢死队,0.0712,33.33,-38093.41,11.11%,1.1056,378.47,638.25,81,2.7,0.4974,1.1056,0.99,29,204611.91
0xba0d0b50595bd2a1cb4364765fd95feef7b681ef,Q2: 爆破敢死队,0.0,40.0,-33945.24,0.00%,0.9471,910.52,1523.92,76,2.53,0.0,0.9471,1.0,20,400924.16
0x5098f49e95717f8b9c6c6f5152b253557b031cdc,Q2: 爆破敢死队,0.1286,17.73,-17695.58,26.67%,0.6985,185.28,660.47,75,2.5,1.0362,0.6985,0.8,8,40522.71
0x2a27657889345e4c7988eb779b4566ce788bf5f0,Q2: 爆破敢死队,0.2289,12.92,-127498.13,16.67%,1.2678,0.95,13740.22,71,2.37,1.3517,1.2678,0.8,21,108683.21
0x61457e63579c14d48dcde6fe6e519d0286c6fbeb,Q2: 爆破敢死队,0.0471,19.66,-43458.03,10.34%,0.8815,136.69,349.98,71,2.37,0.1859,0.8815,0.9809,14,72953.35
0x6056fb11327adc046ced4459fb0a4489a5f6b3fd,Q2: 爆破敢死队,0.2713,25.49,-294187.38,27.94%,0.0208,0.02,6704.38,69,2.3,1.2401,0.0208,0.8,4,195774.44
0x59e7e893427fd16fc0f88e258fa92b4dd89c8095,Q2: 爆破敢死队,0.0275,40.0,-14110.14,5.77%,0.2791,87.94,2571.73,64,2.13,5.8899,0.2791,0.9991,14,26159.57
0x38bdfed8b37b236e8446f9c05b6580439235b9f0,Q2: 爆破敢死队,0.284,30.18,-291151.82,28.89%,0.5624,4228.65,102.53,60,2.0,0.7546,0.5624,1.0,14,1269316.58
0x8ed877d734ce89961ee12dd33d0b344b3c539a73,Q2: 爆破敢死队,0.071,19.16,-32306.32,26.32%,0.9588,0.0,364.94,58,1.93,0.8956,0.9588,0.8098,15,135052.97
0xefb25dfe920362e7ba6e492c29be2a9e4fe586e7,Q2: 爆破敢死队,0.2087,32.79,-192446.33,23.53%,0.3761,14.27,5530.5,58,1.93,0.8692,0.3761,0.9909,3,194923.9
0xfa1f6c8611d9b662b4bc53fc0cb6b769be28fa2c,Q2: 爆破敢死队,0.0619,10.68,-11051.17,20.00%,1.0624,1187.95,5204.56,58,1.93,1.7892,1.0624,1.0,5,26032.05
